品牌,型号,雪茄,税前价格,库存,折扣,原价,链接,更新时间
romeo y julieta,romeo y julieta - petit churchills,"romeo y julieta - petit churchills 25pcs, wooden box",230.52,sold out,-3%,237.65,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills,2020-04-06 19:21
vegueros,vegueros - tapados,vegueros - tapados 1pc,6.60,available,0,6.60,https://selected-cigars.com/en/vegueros-tapados,2020-04-06 19:21
vegueros,vegueros - tapados,vegueros - tapados 4 box,24.84,available,-3%,25.61,https://selected-cigars.com/en/vegueros-tapados,2020-04-06 19:21
vegueros,vegueros - tapados,vegueros - tapados 16 box,99.36,available,-3%,102.43,https://selected-cigars.com/en/vegueros-tapados,2020-04-06 19:21
cohiba,cohiba - linea classica exquisitos,cohiba - linea clasica exquisitos 1 piece,15.00,available,0,15.00,https://selected-cigars.com/en/cohiba-linea-clasica-exquisitos,2020-04-06 19:21
cohiba,cohiba - linea classica exquisitos,cohiba - linea clasica exquisitos 5pcs box,70.57,small quantities available,-3%,72.75,https://selected-cigars.com/en/cohiba-linea-clasica-exquisitos,2020-04-06 19:21
cohiba,cohiba - linea classica exquisitos,"cohiba - linea clasica exquisitos 25pcs, wooden box",352.84,sold out,-3%,363.75,https://selected-cigars.com/en/cohiba-linea-clasica-exquisitos,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - epicure no.1,hoyo de monterrey - epicure no. 1 1 piece,12.20,available,0,12.20,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - epicure no.1,"hoyo de monterrey - epicure no.1 1 piece, alu tubo",13.20,sold out,0,13.20,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - epicure no.1,"hoyo de monterrey - epicure no.1 3pcs, alu tubo",37.26,sold out,-3%,38.41,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - epicure no.1,"hoyo de monterrey - epicure no. 1 25pcs, wooden box",286.97,available,-3%,295.85,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1,2020-04-06 19:21
partagás,partagás - aristocrats,partagás - aristocrats 1 piece,5.00,available,0,5.00,https://selected-cigars.com/en/partagas-aristocrats,2020-04-06 19:21
partagás,partagás - aristocrats,"partagás - aristocrats 25pcs, wooden box",117.61,small quantities available,-3%,121.25,https://selected-cigars.com/en/partagas-aristocrats,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - palmas extra,hoyo de monterrey - palmas extra 1 piece,5.70,available,0,5.70,https://selected-cigars.com/en/hoyo-de-monterrey-palmas-extra,2020-04-06 19:21
hoyo de monterrey,hoyo de monterrey - palmas extra,"hoyo de monterrey - palmas extra 25pcs, wooden box",134.08,available,-3%,138.23,https://selected-cigars.com/en/hoyo-de-monterrey-palmas-extra,2020-04-06 19:21
vegueros,vegueros - entretiempos,vegueros - entretiempos 1pc,7.50,available,0,7.50,https://selected-cigars.com/en/vegueros-entretiempos,2020-04-06 19:21
vegueros,vegueros - entretiempos,vegueros - entretiempos 4pcs box,28.23,small quantities available,-3%,29.10,https://selected-cigars.com/en/vegueros-entretiempos,2020-04-06 19:21
vegueros,vegueros - entretiempos,vegueros - entretiempos 16pcs box,112.91,available,-3%,116.40,https://selected-cigars.com/en/vegueros-entretiempos,2020-04-06 19:21
montecristo,montecristo - tubos,"montecristo - tubos 1 piece, alu tubos",15.80,available,0,15.80,https://selected-cigars.com/en/montecristo-tubos,2020-04-06 19:21
montecristo,montecristo - tubos,montecristo - tubos 25pcs box,371.66,sold out,-3%,383.15,https://selected-cigars.com/en/montecristo-tubos,2020-04-06 19:21
bolívar,bolívar - tubos no.3 a/t,bolívar - tubos no. 3 a/t 1pc,6.90,available,0,6.90,https://selected-cigars.com/en/bolivar-tubos-no-3,2020-04-06 19:21
